ID,calorie,water,carbohydrate,fiber,sugar,protein,fat,sfat,cholesterol,sodium,potassium,calcium,vit_A,vit_C,vit_D,vit_E,vit_K,vit_B6,vit_B12,thiamin,riboflavin,niacin,iron,folat,pantotenik,fosfor,magnesium,cinko,copper,selenium,manganese,Class
985,166.54,58,40.32,0.01,21.54,0.7,0.54,0.1,0,1.43,207.26,13.12,2.7,17.94,0.0,0,0,0.15,0,0.06,0.01,0.46,0.41,24.98,0.2,16.23,12.81,0.21,0.18,0.13,0.14,Bitkisel
986,23,93,4.11,2.3,02.08,1.84,0.45,7.000.000,0,15.0,142.0,16.0,12.0,44.3,0.0,7.000.000,13.8,173,0,42,52,0.41,0.32,44,508,32,9,0.17,18,60.000.000,132,Bitkisel
987,73,780.100.000,17.44,1.6,9.6,2,0.01,0,0,4.0,429.0,14.0,20.0,4,0.0,0.19,0.1,77,0,0.2,0.06,1.3,3.4,13,397,78,17,0.12,0.14,0.7,0.06,Bitkisel
988,369,4.18,89.2,2.2,35.43,3.96,1.68,451,0,468.0,76.0,3.0,446.0,24.2,4.7,7.000.000,0.2,3.573,8.1,1.903,1.73,27.667,26.7,382,0,47,8,0.15,39,3.3,0,Bitkisel
989,96,742.399.999,0,0,0,18.51,1.87,0.33,63,347.0,226.0,34.0,44.0,0,58.0,0.91,0.1,8.400.000,1.72,46,57,1.215,0.27,10,329,300,27,0.35,26,34.6,13,Hayvansal
990,215.86,59.31,17.64,1.77,1.42,6.64,13.17,5.67,25.34,781.18,196.34,29.33,25326.01,23.6,2.27,0.86,32.83,0.13,0.6,0.04,0.09,0,01.08,15.66,0.23,71.48,18.95,1.11,0.05,5.93,0.07,Hayvansal
991,489,935.999.999,59.8,4,26.5,7,23.8,13.9,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,Mikrogram,0,0,0,0,0,0,0,Mix
992,307.73,43.95,31.47,0.76,16.11,5.58,17.72,10.32,141.58,80.83,90.19,50.84,560.62,8.46,33.52,0.75,1.41,0.08,0.27,0.16,0.23,1.13,1.4,49.1,0.56,89.74,9.45,0.51,0.06,14.99,0.14,Mix
993,199.53,57.67,31.74,0.68,0.2,03.05,6.43,2.82,10.26,265.85,61.72,13.96,213.55,0.26,2.86,01.06,0.47,0.08,0.01,0.22,0.03,0,1.71,80.2,0.53,73.92,22.22,0.69,0.08,11.55,0.59,Bitkisel
994,79,80.8,12.64,2.13,1.51,3.89,1.76,0.64,2.18,91.03,195.32,19.54,5216.49,3.27,0.61,0.64,2.2,0.12,0,0.13,0.04,0,1.1,70.03,0.36,50.59,11.81,0.53,0.13,0.33,0.23,Bitkisel
995,336,8.83,91.17,0,80.33,0,0,0,0,0.0,4.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mix
996,411.49,10.67,56.96,6.29,44.87,8.12,21.8,3.48,0,48.21,295.02,177.31,86.56,0.27,0.0,0.11,0.17,0.08,0,0.48,0.22,2.33,4.67,41.3,0.33,337.1,72.72,2.39,0.9,14.76,0.87,Bitkisel
997,257,44.87,33.24,2.2,04.02,10.8,897.000.000,4.11,17,523.0,161.0,167.0,301.0,0.9,0.0,0.99,5.4,0.08,0.46,0.32,0.17,3.35,2.34,Mikrogram,0.45,204,24,1.24,107,23,324,Hayvansal
998,16,94.75,3.47,1.9,2.55,0.79,0.25,34,0,115.0,191.0,33.0,408.0,12.6,0.0,0.59,2.6,111,0,57.500.000,55,712,57.000.000,8,117,17,10,0.12,52,0.7,68,Bitkisel
999,143,761.500.000,0.72,0,0.37,12.56,9.51,3.126,372,142.0,138.0,56.0,540.0,0,82.0,01.05,0.3,0.17,0.89,0.04,457,75,1.75,47,1.533,198,12,1.29,7.200.000,30.7,28,Hayvansal
1000,66.69,84.84,10.01,1.65,0.11,1.53,2.23,1.29,5.3,72.78,226.12,221.0,801.92,21.29,1.48,0.07,95.43,0.48,0,0.03,0.07,0.65,3.64,57.99,0.01,32.64,38.33,0.32,0.01,0.89,0.02,Bitkisel
1001,122.08,75.73,10.43,01.05,1.65,6.18,6.23,1.6,15.97,299.02,183.41,29.92,1487.95,3.63,6.35,0.59,5.21,0.13,0.5,0.04,0.07,1.26,0.87,8.47,0.28,60.97,12.15,2.14,0.05,3.79,0.2,Mix
1002,177,62.48,20.33,0.7,0.24,835.999.999,6.65,3.56,91,642.0,81.0,92.0,70.0,0,20.0,0.25,0.5,53,0.26,169,238,1.36,1.55,43,0,119,11,81.000.000,54,18.5,0,Hayvansal
1003,144,71.36,0.1,0,0.04,22.71,5.3,0.86,60,397.0,534.0,9.0,22.0,0.5,5.7,1.18,4.3,604,1.21,55,35,7.57,0.21,13,0,289,28,0.44,29,55.8,0,Hayvansal
1004,25,93,5.7,0,0,60.000.000,0.3,0,0,0.0,123.0,29.0,339.0,22.3,0.0,0,0,0,0,0.02,0.03,0.8,7.000.000,Mikrogram,0,8,5,0.06,16,0,29,Bitkisel
1005,224,54.4,32.9,0.8,16.23,1.9,10,1.508,0,217.0,125.0,8.0,140.0,0.9,0.0,93.999.999,3.3,23,0,61,33,0.2,0.5,29,114,22,6,0.09,53,1.3,152,Mix
1006,88,76.45,17.03,0,14.95,0.49,0,0,0,23.0,112.0,27.0,0.0,0,0.0,0,0,0,0,0,0,0,0.72,Mikrogram,0,19,12,0.08,26,0,131,Bitkisel
1007,42,92.06,4.2,0.3,2.2,1.2,2.5,0.2,0,0.0,0.0,120.0,0.0,0,0.0,0,0,0,0,0,0,0,0,Mikrogram,0,0,0,0,0,0,0,Bitkisel
1008,411,11.96,66.8,6.7,19.5,10,10,1.4,0,0.0,0.0,422.0,0.0,0,0.0,0,0,0,0,0,0,0,0,Mikrogram,0,0,0,0,0,0,0,Bitkisel
1009,274,43.5,41.1,2.2,25.75,3.3,11.2,2.044,6,135.0,149.0,15.0,30.0,1.7,0.0,1.42,2.9,46,0.22,0.04,25,0.33,0.42,28,0.27,33,9,0.19,0.03,6.1,0.19,Bitkisel
1010,316.45,29.62,49.21,1.9,2.77,7.82,9.64,3.65,13.72,927.57,317.48,50.87,374.31,0.24,3.22,1.75,0.68,0.28,0.09,0.28,0.12,0,2.34,29.06,0.69,358.63,97.14,2.86,0.36,59.14,1.98,Mix
1011,394,38.2,2.57,0,0.52,23.76,32.11,20.218,95,604.0,127.0,685.0,994.0,0,24.0,0.28,2.7,79,0.83,15,375,93,0.76,18,0.21,457,26,03.07,42,14.5,12,Hayvansal
1012,144,739.899.999,15.65,2,13.54,0.91,864.000.000,1.303,2,189.0,140.0,28.0,4.0,14.6,0.0,0.54,709.000.000,121,0.03,37,15,206,0.21,Mikrogram,242,20,9,0.15,16,0,121,Hayvansal
1013,189,64.92,0,0,0,23.28,10.92,3.11,107,75.0,677.0,8.0,0.0,0,0.0,0.39,2.1,538,0.51,121,302,7.107,0.93,2,1.327,234,28,1.92,62,14.3,16,Hayvansal
1014,23,91.69,04.02,0,0,2.46,0.33,91,0,20.0,611.0,215.0,2917.0,43.3,0.0,0,1140,192,0,27,158,658,2.32,85,64,50,55,0.9,162,0.9,885,Bitkisel
1015,319,16.6,78.58,2.4,66.27,2.45,1.18,287,0,162.0,279.0,0.0,0.0,42.3,0.0,04.02,13.2,334,0,62,8.500.000,2,0.23,68,0,50,20,0.3,0.3,2.1,0,Bitkisel
